Equipa Médica,Número de Consultas,Data Consulta
PM,13,2024-01-02
Não Aplicável - NA,8,2024-03-16
PM,11,2024-01-01
MJG,14,2023-05-24
PM,10,2023-12-27
Não Aplicável - NA,14,2023-12-18
Não Aplicável - NA,13,2024-02-24
SM,15,2023-05-25
Não Aplicável - NA,14,2024-01-05
PD,9,2023-04-17
PD,14,2023-10-21
Não Aplicável - NA,5,2023-10-31
PM,12,2024-03-26
Não Aplicável - NA,9,2023-08-22
PM,13,2023-04-28
SM,13,2023-12-03
MJG,8,2023-08-11
MJG,6,2023-08-12
PM,9,2023-08-02
PD,10,2023-12-15
Não Aplicável - NA,9,2024-02-04
MJG,6,2024-02-10
PD,9,2023-06-05
PM,11,2024-02-27
PM,11,2023-06-22
PM,8,2023-12-09
MJG,9,2023-06-20
PM,10,2023-07-20
PM,7,2023-07-14
PM,14,2023-05-03
Não Aplicável - NA,13,2023-07-12
Não Aplicável - NA,12,2023-11-11
PM,13,2024-02-12
PM,13,2024-01-06
MJG,13,2023-06-22
PM,8,2023-11-08
MJG,9,2023-06-03
PD,10,2023-08-11
SM,7,2024-04-06
PM,7,2023-04-16
PD,8,2023-12-23
MJG,10,2023-10-27
Não Aplicável - NA,12,2023-07-29
PM,13,2024-01-30
MJG,6,2023-07-08
SM,6,2023-06-19
PM,15,2024-02-10
PM,12,2023-09-14
Não Aplicável - NA,5,2024-02-23
PD,11,2024-04-13
SM,5,2024-03-08
PD,11,2023-09-20
PD,8,2023-05-25
Não Aplicável - NA,8,2023-05-12
Não Aplicável - NA,11,2023-06-27
PM,8,2023-08-29
SM,8,2023-09-27
MJG,7,2024-04-12
MJG,13,2023-05-25
PM,9,2024-03-20
SM,8,2024-02-21
PD,13,2023-08-03
SM,13,2024-02-04
PM,6,2023-08-08
SM,12,2024-02-06
PD,5,2024-01-17
PM,12,2023-07-09
PD,12,2023-10-22
MJG,9,2023-12-08
Não Aplicável - NA,12,2024-04-05
Não Aplicável - NA,12,2024-02-10
PD,13,2023-12-08
PD,7,2023-07-27
MJG,10,2023-09-14
PD,14,2023-12-23
PD,8,2023-08-22
PM,13,2023-10-14
Não Aplicável - NA,5,2024-02-05
SM,6,2023-10-26
Não Aplicável - NA,6,2023-10-01
MJG,9,2023-12-19
SM,12,2023-07-05
MJG,11,2023-07-05
Não Aplicável - NA,11,2023-05-24
PD,14,2023-09-20
MJG,12,2024-03-02
SM,8,2023-09-15
Não Aplicável - NA,10,2023-10-18
PD,7,2024-03-10
SM,15,2023-11-27
Não Aplicável - NA,13,2023-12-29
MJG,12,2024-01-22
Não Aplicável - NA,11,2023-11-19
PD,8,2023-07-24
Não Aplicável - NA,12,2023-12-01
MJG,11,2023-12-10
SM,15,2023-11-29
PM,10,2023-12-18
SM,6,2023-10-28
MJG,10,2024-03-31
Não Aplicável - NA,14,2023-10-03
PD,6,2023-04-30
SM,6,2023-05-06
MJG,13,2023-08-17
PD,8,2023-11-14
SM,6,2023-04-26
PD,12,2023-04-21
MJG,15,2023-08-30
MJG,5,2023-08-09
MJG,9,2024-01-17
MJG,12,2024-04-12
PM,8,2024-02-20
MJG,8,2023-07-15
Não Aplicável - NA,15,2024-03-14
Não Aplicável - NA,14,2023-11-10
SM,15,2024-04-03
PM,11,2024-02-08
MJG,13,2023-10-12
Não Aplicável - NA,9,2024-01-02
PM,6,2023-07-03
MJG,5,2023-12-12
PD,14,2023-10-19
PD,11,2024-01-17
PD,8,2023-06-14
MJG,9,2024-02-04
MJG,10,2024-01-24
SM,12,2023-07-19
PM,13,2023-08-04
MJG,7,2023-11-13
PM,12,2024-01-20
PD,8,2023-06-05
MJG,15,2024-03-02
PM,13,2023-05-16
Não Aplicável - NA,8,2023-12-06
PD,13,2024-03-22
PD,9,2023-08-09
SM,11,2023-06-12
PD,8,2023-07-04
PD,10,2024-02-23
MJG,11,2023-05-23
PD,5,2023-07-04
SM,11,2023-07-19
MJG,10,2023-09-16
Não Aplicável - NA,8,2024-03-16
SM,12,2024-01-26
Não Aplicável - NA,11,2023-06-02
PM,14,2023-07-15
Não Aplicável - NA,7,2023-12-10
Não Aplicável - NA,5,2023-10-02
SM,14,2024-02-02
PD,7,2023-08-16
MJG,8,2023-06-20
PD,8,2023-05-01
SM,9,2023-10-28
MJG,12,2023-12-29
MJG,5,2023-11-26
PD,14,2023-08-27
SM,13,2023-10-03
PM,7,2024-01-17
SM,10,2023-05-10
SM,5,2023-10-19
PD,9,2023-08-24
SM,14,2023-08-30
PM,12,2023-06-01
PM,14,2023-05-04
Não Aplicável - NA,5,2024-03-27
Não Aplicável - NA,11,2023-11-01
MJG,6,2023-08-04
SM,13,2023-12-22
MJG,6,2023-11-15
SM,13,2023-08-03
SM,9,2023-11-23
SM,6,2023-11-25
PD,12,2023-11-14
Não Aplicável - NA,8,2023-05-07
PD,12,2024-02-13
PM,11,2023-07-10
PD,11,2023-12-12
PD,6,2023-09-19
MJG,15,2024-01-29
PM,13,2023-09-02
SM,9,2023-07-04
MJG,10,2023-10-17
PD,7,2023-05-22
Não Aplicável - NA,12,2024-02-22
MJG,5,2023-09-28
PM,13,2023-11-09
Não Aplicável - NA,5,2023-12-06
MJG,6,2023-12-08
PM,11,2023-12-31
PM,5,2023-10-06
Não Aplicável - NA,9,2023-11-29
Não Aplicável - NA,9,2023-12-23
PM,14,2023-12-06
SM,8,2024-03-14
PM,5,2024-03-13
MJG,6,2023-05-14
